cod_mun;Ano;n1;n2;n3
150650;2016;17,00;0,01;0,00
150655;2016;9,00;0,01;0,00
150658;2016;6,00;0,01;0,00
150660;2016;7,00;0,01;0,00
150670;2016;9,00;0,01;0,00
150680;2016;43,00;0,01;0,00
150690;2016;3,00;0,01;0,00
150700;2016;8,00;0,01;0,00
150710;2016;6,00;0,01;0,00
150715;2016;7,00;0,01;0,00
150720;2016;10,00;0,01;0,00
150730;2016;10,00;0,01;1,00
150740;2016;7,00;0,01;0,00
150745;2016;7,00;0,01;0,00
150746;2016;3,00;0,01;0,00
150747;2016;9,00;0,01;0,00
150750;2016;5,00;0,01;0,00
150760;2016;7,00;0,01;0,00
150770;2016;5,00;0,01;0,00
150775;2016;1,00;0,01;0,00
150780;2016;4,00;0,01;0,00
150790;2016;4,00;0,01;0,00
150795;2016;8,00;0,01;0,00
150796;2016;4,00;0,01;0,00
150797;2016;4,00;0,01;0,00
150800;2016;6,00;0,01;0,00
150803;2016;9,00;0,01;0,00
150805;2016;3,00;0,01;0,00
150808;2016;6,00;0,01;0,00
150810;2016;22,00;0,01;0,00
150812;2016;10,00;0,01;0,00
150815;2016;11,00;0,01;0,00
150820;2016;8,00;0,01;0,00
150830;2016;10,00;0,01;0,00
150835;2016;4,00;0,01;0,00
150840;2016;11,00;0,01;2,00
160010;2016;3,00;0,01;0,00
160020;2016;3,00;0,01;0,00
160021;2016;2,00;0,01;0,00
160023;2016;3,00;0,01;0,00
160025;2016;2,00;0,01;0,00
160027;2016;16,00;0,01;0,00
160030;2016;82,00;0,01;0,00
160040;2016;6,00;0,01;0,00
160050;2016;5,00;0,01;0,00
160015;2016;3,00;0,01;0,00
160053;2016;5,00;0,01;0,00
160055;2016;1,00;0,01;0,00
160060;2016;30,00;0,01;0,00
160005;2016;2,00;0,01;0,00
160070;2016;4,00;0,01;0,00
160080;2016;7,00;0,01;0,00
170025;2016;1,00;0,01;0,00
170030;2016;2,00;0,01;0,00
170035;2016;3,00;0,01;0,00
170040;2016;3,00;0,01;0,00
170070;2016;3,00;0,01;0,00
170100;2016;4,00;0,01;0,00
170105;2016;1,00;0,01;0,00
170110;2016;2,00;0,01;0,00
170130;2016;3,00;0,01;0,00
170190;2016;3,00;0,01;0,00
170200;2016;4,00;0,01;0,00
170210;2016;37,00;0,01;0,00
170215;2016;2,00;0,01;0,00
170220;2016;10,00;0,01;0,00
170230;2016;2,00;0,01;0,00
170240;2016;4,00;0,01;0,00
170255;2016;5,00;0,01;0,00
170270;2016;2,00;0,01;0,00
170290;2016;5,00;0,01;0,00
170300;2016;3,00;0,01;0,00
170305;2016;1,00;0,01;0,00
170307;2016;2,00;0,01;0,00
170310;2016;2,00;0,01;0,00
170320;2016;2,00;0,01;0,00
170330;2016;2,00;0,01;0,00
170360;2016;1,00;0,01;0,00
170370;2016;2,00;0,01;0,00
170380;2016;5,00;0,01;0,00
170382;2016;1,00;0,01;0,00
170384;2016;1,00;0,01;0,00
170386;2016;2,00;0,01;0,00
170388;2016;1,00;0,01;0,00
170389;2016;2,00;0,01;0,00
170390;2016;1,00;0,01;0,00
170410;2016;1,00;0,01;0,00
170510;2016;1,00;0,01;0,00
170460;2016;1,00;0,01;0,00
170550;2016;10,00;0,01;0,00
171670;2016;3,00;0,01;0,00
170555;2016;2,00;0,01;0,00
170560;2016;2,00;0,01;0,00
170600;2016;2,00;0,01;0,00
170610;2016;3,00;0,01;0,00
170625;2016;1,00;0,01;0,00
170650;2016;2,00;0,01;0,00
170700;2016;6,00;0,01;0,00
170710;2016;3,00;0,01;0,00
170720;2016;3,00;0,01;0,00
170730;2016;2,00;0,01;0,00
170740;2016;3,00;0,01;0,00
170755;2016;2,00;0,01;0,00
170765;2016;2,00;0,01;0,00
170770;2016;3,00;0,01;0,00
170820;2016;6,00;0,01;0,00
170825;2016;1,00;0,01;0,00
170830;2016;2,00;0,01;0,00
170900;2016;4,00;0,01;0,00
170930;2016;9,00;0,01;0,00
170950;2016;22,00;0,01;0,00
170980;2016;1,00;0,01;0,00
171050;2016;3,00;0,01;0,00
171070;2016;2,00;0,01;0,00
171090;2016;2,00;0,01;0,00
171110;2016;1,00;0,01;0,00
171150;2016;2,00;0,01;0,00
171180;2016;1,00;0,01;0,00
171190;2016;4,00;0,01;0,00
171195;2016;1,00;0,01;0,00
171200;2016;1,00;0,01;0,00
171215;2016;1,00;0,01;0,00
171240;2016;1,00;0,01;0,00
171245;2016;1,00;0,01;0,00
171250;2016;2,00;0,01;0,00
171270;2016;1,00;0,01;0,00
171280;2016;2,00;0,01;0,00
171320;2016;8,00;0,01;0,00
171330;2016;4,00;0,01;0,00
171360;2016;2,00;0,01;0,00
171370;2016;1,00;0,01;0,00
171395;2016;2,00;0,01;0,00
171420;2016;4,00;0,01;0,00
171430;2016;2,00;0,01;0,00
171488;2016;4,00;0,01;0,00
171500;2016;2,00;0,01;0,00
171510;2016;2,00;0,01;0,00
171515;2016;1,00;0,01;0,00
171525;2016;1,00;0,01;0,00
171550;2016;1,00;0,01;0,00
172100;2016;78,00;0,01;0,00
171570;2016;2,00;0,01;0,00
171380;2016;3,00;0,01;0,00
171575;2016;3,00;0,01;0,00
171610;2016;15,00;0,01;0,00
171620;2016;3,00;0,01;0,00
171630;2016;2,00;0,01;0,00
171650;2016;4,00;0,01;0,00
171660;2016;4,00;0,01;0,00
171665;2016;2,00;0,01;0,00
171700;2016;2,00;0,01;0,00
171720;2016;1,00;0,01;0,00
171750;2016;3,00;0,01;0,00
171780;2016;2,00;0,01;0,00
171790;2016;2,00;0,01;0,00
171800;2016;1,00;0,01;0,00
171820;2016;15,00;0,01;0,00
171830;2016;3,00;0,01;0,00
171840;2016;2,00;0,01;0,00
171845;2016;1,00;0,01;0,00
171850;2016;2,00;0,01;0,00
171855;2016;2,00;0,01;0,00
171865;2016;1,00;0,01;0,00
171870;2016;1,00;0,01;0,00
171875;2016;2,00;0,01;0,00
171880;2016;1,00;0,01;0,00
171884;2016;2,00;0,01;0,00
171886;2016;3,00;0,01;0,00
171888;2016;1,00;0,01;0,00
171889;2016;1,00;0,01;0,00
171890;2016;2,00;0,01;0,00
171900;2016;1,00;0,01;0,00
172000;2016;1,00;0,01;0,00
172010;2016;2,00;0,01;0,00
172015;2016;0,00;0,01;0,00
172020;2016;4,00;0,01;0,00
172025;2016;1,00;0,01;0,00
172030;2016;2,00;0,01;0,00
172049;2016;2,00;0,01;0,00
172065;2016;2,00;0,01;0,00
172080;2016;5,00;0,01;0,00
172085;2016;1,00;0,01;0,00
172090;2016;4,00;0,01;0,00
172093;2016;1,00;0,01;0,00
172097;2016;1,00;0,01;0,00
172110;2016;2,00;0,01;0,00
172120;2016;10,00;0,01;0,00
172125;2016;1,00;0,01;0,00
172130;2016;1,00;0,01;0,00
172208;2016;4,00;0,01;0,00
172210;2016;3,00;0,01;0,00
210005;2016;18,00;0,01;0,00
210010;2016;3,00;0,01;0,00
210015;2016;5,00;0,01;0,00
210020;2016;9,00;0,01;0,00
210030;2016;9,00;0,01;0,00
210040;2016;3,00;0,01;0,00
210043;2016;9,00;0,01;0,00
210047;2016;6,00;0,01;0,00
210050;2016;5,00;0,01;0,00
210055;2016;3,00;0,01;0,00
210060;2016;19,00;0,01;0,00
210070;2016;10,00;0,01;0,00
210080;2016;6,00;0,01;0,00
210083;2016;6,00;0,01;0,00
210087;2016;4,00;0,01;0,00
210090;2016;17,00;0,01;0,00
210095;2016;8,00;0,01;0,00
210100;2016;10,60;0,01;0,00
210110;2016;5,00;0,01;0,00
210120;2016;42,00;0,01;0,00
210125;2016;6,00;0,01;0,00
210130;2016;7,00;0,01;0,00
210135;2016;2,00;0,01;0,00
210140;2016;21,00;0,01;0,00
210150;2016;7,00;0,01;0,00
210160;2016;17,00;0,01;0,00
210170;2016;23,00;0,01;0,00
210177;2016;6,00;0,01;0,00
210173;2016;2,00;0,01;0,00
210180;2016;2,00;0,01;0,00
210190;2016;10,00;0,01;0,00
210193;2016;3,00;0,01;0,00
210197;2016;3,00;0,01;0,00
210200;2016;17,00;0,01;0,00
210203;2016;8,00;0,01;0,00
210207;2016;6,00;0,01;0,00
210210;2016;10,00;0,01;0,00
210215;2016;3,00;0,01;0,00
210220;2016;10,00;0,01;0,00
210230;2016;5,00;0,01;0,00
210232;2016;18,00;0,01;0,00
210235;2016;7,00;0,01;0,00
210237;2016;4,00;0,01;0,00
210240;2016;4,00;0,01;0,00
210250;2016;5,00;0,01;0,00
210255;2016;5,00;0,01;0,00
210260;2016;9,00;0,01;0,00
210270;2016;8,00;0,01;0,00
210275;2016;5,00;0,01;0,00
210280;2016;9,00;0,01;0,00
210290;2016;8,00;0,01;0,00
210300;2016;49,00;0,01;0,00
210310;2016;5,00;0,01;0,00
210312;2016;2,00;0,01;0,00
210315;2016;5,00;0,01;0,00
210317;2016;8,00;0,01;0,00
210320;2016;22,00;0,01;0,00
210325;2016;5,00;0,01;0,00
210330;2016;30,00;0,01;0,00
210340;2016;13,00;0,01;0,00
210350;2016;15,00;0,01;0,00
210355;2016;6,00;0,01;0,00
210360;2016;19,00;0,01;0,00
210370;2016;13,00;0,01;0,00
210375;2016;5,00;0,01;0,00
210380;2016;10,00;0,01;0,00
210390;2016;4,00;0,01;0,00
210400;2016;10,00;0,01;0,00
210405;2016;18,00;0,01;0,00
210407;2016;3,00;0,01;0,00
210408;2016;5,00;0,01;0,00
210409;2016;9,00;0,01;0,00
210410;2016;6,00;0,01;0,00
210420;2016;7,00;0,01;0,00
210430;2016;5,00;0,01;0,00
210440;2016;7,00;0,01;0,00
210450;2016;4,00;0,01;0,00
210455;2016;5,00;0,01;0,00
210460;2016;7,00;0,01;0,00
210462;2016;3,00;0,01;0,00
210465;2016;5,00;0,01;0,00
210467;2016;12,00;0,01;0,00
210470;2016;2,00;0,01;0,00
210480;2016;18,00;0,01;0,00
210490;2016;5,00;0,01;0,00
210500;2016;10,00;0,01;0,00
210510;2016;9,00;0,01;0,00
210515;2016;5,00;0,01;0,00
210520;2016;5,00;0,01;0,00
210530;2016;42,00;0,01;0,00
210535;2016;7,00;0,01;0,00
210540;2016;23,00;0,01;0,00
210542;2016;8,00;0,01;0,00
210545;2016;4,00;0,01;0,00
210547;2016;6,00;0,01;0,00
210550;2016;9,00;0,01;0,00
210560;2016;6,00;0,01;0,00
210565;2016;3,00;0,01;0,00
210570;2016;18,00;0,01;0,00
210580;2016;4,00;0,01;0,00
210594;2016;3,00;0,01;0,00
210590;2016;6,00;0,01;0,00
210592;2016;4,00;0,01;0,00
210596;2016;5,00;0,01;0,00
210598;2016;3,00;0,01;0,00
210600;2016;5,00;0,01;0,00
210610;2016;4,00;0,01;0,00
210620;2016;3,00;0,01;0,00
210630;2016;6,00;0,01;0,00
210632;2016;7,00;0,01;0,00
210635;2016;2,00;0,01;0,00
210637;2016;6,00;0,01;0,00
210640;2016;8,00;0,01;0,00
210650;2016;8,00;0,01;0,00
210660;2016;15,00;0,01;0,00
210663;2016;5,00;0,01;0,00
210667;2016;4,00;0,01;0,00
210670;2016;8,00;0,01;0,00
210675;2016;8,00;0,01;0,00
210680;2016;7,00;0,01;0,00
210690;2016;8,00;0,01;0,00
